1,2,3,4,5,6
0.065569775,0.029100864,0.029100864,0.029100864,0.029100864,0.026178844
0.406840191,0.224360904,0.224360904,0.224360904,0.224360904,0.255459055
0.53868387,0.307119546,0.307119546,0.307119546,0.307119546,0.473632767
0.418358581,0.297115802,0.297115802,0.297115802,0.297115802,0.467048755
0.330825789,0.316255665,0.316255665,0.316255665,0.316255665,0.430022653
0.322093399,0.35290732,0.35290732,0.35290732,0.35290732,0.406183978
0.349026916,0.390338829,0.390338829,0.390338829,0.390338829,0.41748979
0.35904225,0.405506414,0.405506414,0.405506414,0.405506414,0.451199598
0.140836597,0.232028807,0.232028807,0.232028807,0.232028807,0.287444615
0,0.022924852,0.022924852,0.022924852,0.022924852,0.03776554
